,bandwidth_mbit,bandwidth_mbit_-1,bandwidth_mbit_-10,bandwidth_mbit_-2,bandwidth_mbit_-3,bandwidth_mbit_-4,bandwidth_mbit_-5,bandwidth_mbit_-6,bandwidth_mbit_-7,bandwidth_mbit_-8,bandwidth_mbit_-9,bitrate_level,body_size_byte,buffer_estimate_0,byte_end,byte_start,n_segment,previous_bitrate,previous_quality,previous_vmaf,quality_level_chosen,quality_level_chosen_-1,quality_level_chosen_-10,quality_level_chosen_-2,quality_level_chosen_-3,quality_level_chosen_-4,quality_level_chosen_-5,quality_level_chosen_-6,quality_level_chosen_-7,quality_level_chosen_-8,quality_level_chosen_-9,quality_shift,quality_shift_bitrate_-1,quality_shift_bitrate_-2,quality_shift_bitrate_0,quality_shift_bitrate_1,quality_shift_bitrate_2,quality_shift_byte_-1,quality_shift_byte_-2,quality_shift_byte_0,quality_shift_byte_1,quality_shift_byte_2,quality_shift_vmaf_-1,quality_shift_vmaf_-2,quality_shift_vmaf_0,quality_shift_vmaf_1,quality_shift_vmaf_2,rebuffer_estimate_0,seg_len_s,t_download_s,t_download_s_-1,t_download_s_-10,t_download_s_-2,t_download_s_-3,t_download_s_-4,t_download_s_-5,t_download_s_-6,t_download_s_-7,t_download_s_-8,t_download_s_-9,t_end,t_start,timestamp_finish,timestamp_start,url,vmaf_level
0,2.8706988457502622,,,,,,,,,,,273564.0,341972,0.0,0,0,0,0.0,0,0.0,0,,,,,,,,,,,0,273564.0,273564.0,273564.0,533442.0,851071.0,341972,341972,341972,666836,1063892,47.073341795918395,47.073341795918395,47.073341795918395,70.22816820408164,78.57609510204078,0.0,10.000489,0.9530000000000001,,,,,,,,,,,10.0,0.0,1576423269.003,1576423268.012,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/17/05/170529_emm_wv_horizons_tex/4/170529_emm_wv_horizons_tex.smil/segment1_229000_av.ts,47.073341795918395
1,2.8360897679726134,,,,,,,,,,,1491216.0,1864020,0.0,0,0,1,0.0,0,0.0,3,,,,,,,,,,,-3,263952.0,263952.0,263952.0,516624.0,800579.0,329940,329940,329940,645780,1000724,27.044455469387735,27.044455469387735,27.044455469387735,57.50175620408157,70.0184067755102,1.0809998512268066,10.0,5.258,,,,,,,,,,,20.0,10.0,1576423274.452,1576423269.093,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/17/05/170529_emm_wv_horizons_tex/4/170529_emm_wv_horizons_tex.smil/segment2_1496000_av.ts,81.55144918367344
2,-0.008,,,,,,,,,,,1585065.0,-1,9.954999923706055,0,0,2,0.0,0,0.0,3,,,,,,,,,,,-3,261545.0,261545.0,261545.0,521436.0,841488.0,326932,326932,326932,651796,1051860,15.801723714285714,15.801723714285714,15.801723714285714,47.579676448979576,62.93539620408164,5.358999967575073,10.0,0.001,,,,,,,,,,,30.0,20.0,1576423274.521,1576423274.497,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/17/05/170529_emm_wv_horizons_tex/4/170529_emm_wv_horizons_tex.smil/segment3_1496000_av.ts,78.54548265306127
3,-0.008,4.268962025316456,,2.8360897679726134,,,,,,,,2278037.0,-1,16.138000011444092,0,0,3,1491216.0,3,81.55144918367344,4,3.0,,3.0,,,,,,,,-1,812585.0,511795.0,1515232.0,2278037.0,3288694.0,1015764,639764,1894100,2847636,4110996,66.7698876734694,53.73636240816326,80.5509293877551,85.55682820408161,100.0,0.0,10.000311,0.001,3.713,,5.258,,,,,,,,40.0,30.0,1576423278.4139998,1576423278.314,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/17/05/170529_emm_wv_horizons_tex/4/170529_emm_wv_horizons_tex.smil/segment4_2296000_av.ts,85.55682820408161
4,-0.008,59.95023157894737,,4.268962025316456,2.8360897679726134,,,,,,,3514998.0,-1,25.574999809265137,0,0,4,1585065.0,3,78.54548265306127,5,4.0,,3.0,3.0,,,,,,,-2,846300.0,528656.0,1599504.0,2456182.0,3514998.0,1057876,660820,1999380,3070228,4393748,62.72950767346938,48.92161555102042,76.12320636734695,81.64923677551019,100.0,0.0,10.0,0.001,0.38,,3.713,5.258,,,,,,,50.0,40.0,1576423278.979,1576423278.877,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/17/05/170529_emm_wv_horizons_tex/4/170529_emm_wv_horizons_tex.smil/segment5_3296000_av.ts,100.0
5,-0.008,59.57624406779661,,59.95023157894737,4.268962025316456,2.8360897679726134,,,,,,3377833.0,-1,34.78399991989136,0,0,5,2278037.0,4,85.55682820408161,5,5.0,,4.0,3.0,3.0,,,,,,-1,1548969.0,827049.0,2357520.0,3377833.0,3377833.0,1936212,1033812,2946900,4222292,4222292,75.42803387755104,62.09060314285717,80.8937470204082,100.0,100.0,0.0,10.0,0.001,0.59,,0.38,3.713,5.258,,,,,,60.0,50.0,1576423279.688,1576423279.668,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/17/05/170529_emm_wv_horizons_tex/4/170529_emm_wv_horizons_tex.smil/segment6_3296000_av.ts,100.0
6,-0.008,58.84727526132403,,59.57624406779661,59.95023157894737,4.268962025316456,2.8360897679726134,,,,,3365756.0,-1,44.115999937057495,0,0,6,3514998.0,5,100.0,5,5.0,,5.0,4.0,3.0,3.0,,,,,0,2374333.0,1551355.0,3365756.0,3365756.0,3365756.0,2967956,1939220,4207252,4207252,4207252,81.43255232653058,75.85235665306122,100.0,100.0,100.0,0.0,10.000133,0.001,0.5740000000000001,,0.59,0.38,3.713,5.258,,,,,70.0,60.0,1576423280.365,1576423280.336,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/17/05/170529_emm_wv_horizons_tex/4/170529_emm_wv_horizons_tex.smil/segment7_3296000_av.ts,100.0
7,-0.008,54.46280906148867,,58.84727526132403,59.57624406779661,59.95023157894737,4.268962025316456,2.8360897679726134,,,,3555907.0,-1,53.39299988746643,0,0,7,3377833.0,5,100.0,5,5.0,,5.0,5.0,4.0,3.0,3.0,,,,0,2460995.0,1604316.0,3555907.0,3555907.0,3555907.0,3076244,2005396,4444884,4444884,4444884,89.06124853061226,85.09324297959185,100.0,100.0,100.0,0.0,10.0,0.001,0.618,,0.5740000000000001,0.59,0.38,3.713,5.258,,,,80.0,70.0,1576423281.079,1576423281.059,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/17/05/170529_emm_wv_horizons_tex/4/170529_emm_wv_horizons_tex.smil/segment8_3296000_av.ts,100.0
8,-0.008,53.87738181818182,,54.46280906148867,58.84727526132403,59.57624406779661,59.95023157894737,4.268962025316456,2.8360897679726134,,,3447603.0,-1,62.609999895095825,0,0,8,3365756.0,5,100.0,5,5.0,,5.0,5.0,5.0,4.0,3.0,3.0,,,0,2436920.0,1606715.0,3447603.0,3447603.0,3447603.0,3046164,2008404,4309524,4309524,4309524,85.181818,78.5611587346939,100.0,100.0,100.0,0.0,10.000045,0.001,0.66,,0.618,0.5740000000000001,0.59,0.38,3.713,5.258,,,90.0,80.0,1576423281.928,1576423281.842,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/17/05/170529_emm_wv_horizons_tex/4/170529_emm_wv_horizons_tex.smil/segment9_3296000_av.ts,100.0
9,-0.008,49.96549565217391,,53.87738181818182,54.46280906148867,58.84727526132403,59.57624406779661,59.95023157894737,4.268962025316456,2.8360897679726134,,3317673.0,-1,71.73299980163574,0,0,9,3555907.0,5,100.0,5,5.0,,5.0,5.0,5.0,5.0,4.0,3.0,3.0,,0,2333456.0,1539344.0,3317673.0,3317673.0,3317673.0,2916820,1924180,4147092,4147092,4147092,86.4321357317073,81.17748597560977,100.0,100.0,100.0,0.0,10.0,0.001,0.6900000000000001,,0.66,0.618,0.5740000000000001,0.59,0.38,3.713,5.258,,100.0,90.0,1576423282.7380002,1576423282.719,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/17/05/170529_emm_wv_horizons_tex/4/170529_emm_wv_horizons_tex.smil/segment10_3296000_av.ts,100.0
