,bandwidth_mbit,bandwidth_mbit_-1,bandwidth_mbit_-10,bandwidth_mbit_-2,bandwidth_mbit_-3,bandwidth_mbit_-4,bandwidth_mbit_-5,bandwidth_mbit_-6,bandwidth_mbit_-7,bandwidth_mbit_-8,bandwidth_mbit_-9,bitrate_level,body_size_byte,buffer_estimate_0,byte_end,byte_start,n_segment,previous_bitrate,previous_quality,previous_vmaf,quality_level_chosen,quality_level_chosen_-1,quality_level_chosen_-10,quality_level_chosen_-2,quality_level_chosen_-3,quality_level_chosen_-4,quality_level_chosen_-5,quality_level_chosen_-6,quality_level_chosen_-7,quality_level_chosen_-8,quality_level_chosen_-9,quality_shift,quality_shift_bitrate_-1,quality_shift_bitrate_-2,quality_shift_bitrate_0,quality_shift_bitrate_1,quality_shift_bitrate_2,quality_shift_byte_-1,quality_shift_byte_-2,quality_shift_byte_0,quality_shift_byte_1,quality_shift_byte_2,quality_shift_vmaf_-1,quality_shift_vmaf_-2,quality_shift_vmaf_0,quality_shift_vmaf_1,quality_shift_vmaf_2,rebuffer_estimate_0,seg_len_s,t_download_s,t_download_s_-1,t_download_s_-10,t_download_s_-2,t_download_s_-3,t_download_s_-4,t_download_s_-5,t_download_s_-6,t_download_s_-7,t_download_s_-8,t_download_s_-9,t_end,t_start,timestamp_finish,timestamp_start,url,vmaf_level
0,2.822428940568475,,,,,,,,,,,2124250.0,2730700,0.0,0,0,0,0.0,0,0.0,4,,,,,,,,,,,-4,184841.0,184841.0,184841.0,379760.0,756326.0,231052,231052,231052,474700,952972,25.40568095617529,25.40568095617529,25.40568095617529,42.55546131474105,75.12563124000005,0.0,10.08,7.74,,,,,,,,,,,10.08,0.0,1576353673.308,1576353665.257,"https://hdvodsrforigin-f.akamaihd.net/i/vod/10vor10/2019/09/10vor10_20190925_215007_17715072_v_webcast_h264_,q40,q10,q20,q30,q50,q60,.mp4.csmil/segment92_4_av.ts?start=911.88&end=1247.2",89.70847506024101
1,-0.008,,,,,,,,,,,2183861.0,-1,0.0,0,0,1,0.0,0,0.0,4,,,,,,,,,,,-4,192060.0,192060.0,192060.0,401417.0,756301.0,240076,240076,240076,501772,952972,18.587608600000006,18.587608600000006,18.587608600000006,32.25079240000001,74.80166453815254,8.860000133514404,10.080333,0.001,,,,,,,,,,,20.16,10.08,1576353674.134,1576353674.117,"https://hdvodsrforigin-f.akamaihd.net/i/vod/10vor10/2019/09/10vor10_20190925_215007_17715072_v_webcast_h264_,q40,q10,q20,q30,q50,q60,.mp4.csmil/segment93_4_av.ts?start=911.88&end=1247.2",89.78171614457828
2,-0.008,,,,,,,,,,,379760.0,-1,0.0,0,0,0,2124250.0,4,89.70847506024101,1,,,,,,,,,,,3,1353152.0,756326.0,2124250.0,3630638.0,3630638.0,1704972,952972,2676556,4574604,4574604,81.46420072289148,75.12563124000005,89.70847506024101,100.0,100.0,1.5649998188018799,10.08,0.001,,,,,,,,,,,10.08,0.0,1576353675.741,1576353675.682,"https://hdvodsrforigin-f.akamaihd.net/i/vod/10vor10/2019/09/10vor10_20190925_215007_17715072_v_webcast_h264_,q40,q10,q20,q30,q50,q60,.mp4.csmil/segment92_2_av.ts?start=911.88&end=1247.2",42.55546131474105
3,-0.008,0.9921296530767281,,,,,,,,,,401417.0,-1,0.0,0,0,1,2183861.0,4,89.78171614457828,1,1.0,,,,,,,,,,3,1374592.0,756301.0,2183861.0,3733168.0,3733168.0,1732044,952972,2751756,4703948,4703948,81.2949473092369,74.80166453815254,89.78171614457828,100.0,100.0,4.057000160217285,10.080333,0.001,3.9490000000000003,,,,,,,,,,20.16,10.08,1576353679.756,1576353679.739,"https://hdvodsrforigin-f.akamaihd.net/i/vod/10vor10/2019/09/10vor10_20190925_215007_17715072_v_webcast_h264_,q40,q10,q20,q30,q50,q60,.mp4.csmil/segment93_2_av.ts?start=911.88&end=1247.2",32.25079240000001
4,-0.008,1.0136700369913687,,0.9921296530767281,,,,,,,,756301.0,-1,9.9789999294281,0,0,1,379760.0,1,42.55546131474105,2,1.0,,1.0,,,,,,,,-1,192060.0,192060.0,401417.0,756301.0,1374592.0,240076,240076,501772,952972,1732044,18.587608600000006,18.587608600000006,32.25079240000001,74.80166453815254,81.2949473092369,4.072999954223633,10.080333,0.001,4.055,,3.9490000000000003,,,,,,,,20.16,10.08,1576353684.164,1576353683.913,"https://hdvodsrforigin-f.akamaihd.net/i/vod/10vor10/2019/09/10vor10_20190925_215007_17715072_v_webcast_h264_,q40,q10,q20,q30,q50,q60,.mp4.csmil/segment93_3_av.ts?start=911.88&end=1247.2",74.80166453815254
5,-0.008,1.0136700369913687,,0.9921296530767281,,,,,,,,192060.0,-1,8.399999933242798,0,0,1,401417.0,1,32.25079240000001,0,1.0,,1.0,,,,,,,,1,192060.0,192060.0,401417.0,756301.0,1374592.0,240076,240076,501772,952972,1732044,18.587608600000006,18.587608600000006,32.25079240000001,74.80166453815254,81.2949473092369,0.0,10.080333,0.001,4.055,,3.9490000000000003,,,,,,,,20.16,10.08,1576353685.5340002,1576353685.492,"https://hdvodsrforigin-f.akamaihd.net/i/vod/10vor10/2019/09/10vor10_20190925_215007_17715072_v_webcast_h264_,q40,q10,q20,q30,q50,q60,.mp4.csmil/segment93_1_av.ts?start=911.88&end=1247.2",18.587608600000006
6,-0.008,1.0136700369913687,,0.9921296530767281,,,,,,,,184258.0,-1,6.1729999351501466,0,0,2,756301.0,2,74.80166453815254,0,1.0,,1.0,,,,,,,,2,385757.0,184258.0,718130.0,1443869.0,2355819.0,483724,231052,904844,1819276,2968332,30.66344980079681,15.438005617529873,75.1646327309237,84.16921257028106,93.87046771084336,0.0,10.08,0.001,4.055,,3.9490000000000003,,,,,,,,30.24,20.16,1576353687.7250001,1576353687.719,"https://hdvodsrforigin-f.akamaihd.net/i/vod/10vor10/2019/09/10vor10_20190925_215007_17715072_v_webcast_h264_,q40,q10,q20,q30,q50,q60,.mp4.csmil/segment94_1_av.ts?start=911.88&end=1247.2",15.438005617529873
7,-0.008,0.9728505263157893,,0.9093468822170899,1.0136700369913687,0.9921296530767281,,,,,,194467.0,-1,14.324000034332274,0,0,3,192060.0,0,18.587608600000006,0,0.0,,0.0,1.0,1.0,,,,,,0,194467.0,194467.0,194467.0,413449.0,802482.0,243084,243084,243084,516812,1007116,16.716783200000002,16.716783200000002,16.716783200000002,30.65155984000002,70.28486465863445,0.0,10.08,0.001,1.9000000000000001,,2.165,4.055,3.9490000000000003,,,,,,40.32,30.24,1576353689.662,1576353689.648,"https://hdvodsrforigin-f.akamaihd.net/i/vod/10vor10/2019/09/10vor10_20190925_215007_17715072_v_webcast_h264_,q40,q10,q20,q30,q50,q60,.mp4.csmil/segment95_1_av.ts?start=911.88&end=1247.2",16.716783200000002
8,-0.008,0.7769449838187702,,0.9728505263157893,0.9093468822170899,1.0136700369913687,0.9921296530767281,,,,,413449.0,-1,21.863000144958498,0,0,3,184258.0,0,15.438005617529873,1,0.0,,0.0,0.0,1.0,1.0,,,,,-1,194467.0,194467.0,194467.0,413449.0,802482.0,243084,243084,243084,516812,1007116,16.716783200000002,16.716783200000002,16.716783200000002,30.65155984000002,70.28486465863445,0.0,10.08,0.001,2.472,,1.9000000000000001,2.165,4.055,3.9490000000000003,,,,,40.32,30.24,1576353692.1999998,1576353692.189,"https://hdvodsrforigin-f.akamaihd.net/i/vod/10vor10/2019/09/10vor10_20190925_215007_17715072_v_webcast_h264_,q40,q10,q20,q30,q50,q60,.mp4.csmil/segment95_2_av.ts?start=911.88&end=1247.2",30.65155984000002
9,-0.008,0.9422948356807512,,0.7769449838187702,0.9728505263157893,0.9093468822170899,1.0136700369913687,0.9921296530767281,,,,370134.0,-1,17.53699993133545,0,0,4,194467.0,0,16.716783200000002,1,1.0,,0.0,0.0,0.0,1.0,1.0,,,,-1,182435.0,182435.0,182435.0,370134.0,709683.0,228044,228044,228044,462668,892812,5.071517609561751,5.071517609561751,5.071517609561751,13.979886533864537,46.62624212851404,0.0,10.08,0.001,4.26,,2.472,1.9000000000000001,2.165,4.055,3.9490000000000003,,,,50.4,40.32,1576353696.5270002,1576353696.515,"https://hdvodsrforigin-f.akamaihd.net/i/vod/10vor10/2019/09/10vor10_20190925_215007_17715072_v_webcast_h264_,q40,q10,q20,q30,q50,q60,.mp4.csmil/segment96_2_av.ts?start=911.88&end=1247.2",13.979886533864537
