,bandwidth_mbit,bandwidth_mbit_-1,bandwidth_mbit_-10,bandwidth_mbit_-2,bandwidth_mbit_-3,bandwidth_mbit_-4,bandwidth_mbit_-5,bandwidth_mbit_-6,bandwidth_mbit_-7,bandwidth_mbit_-8,bandwidth_mbit_-9,bitrate_level,body_size_byte,buffer_estimate_0,byte_end,byte_start,n_segment,previous_bitrate,previous_quality,previous_vmaf,quality_level_chosen,quality_level_chosen_-1,quality_level_chosen_-10,quality_level_chosen_-2,quality_level_chosen_-3,quality_level_chosen_-4,quality_level_chosen_-5,quality_level_chosen_-6,quality_level_chosen_-7,quality_level_chosen_-8,quality_level_chosen_-9,quality_shift,quality_shift_bitrate_-1,quality_shift_bitrate_-2,quality_shift_bitrate_0,quality_shift_bitrate_1,quality_shift_bitrate_2,quality_shift_byte_-1,quality_shift_byte_-2,quality_shift_byte_0,quality_shift_byte_1,quality_shift_byte_2,quality_shift_vmaf_-1,quality_shift_vmaf_-2,quality_shift_vmaf_0,quality_shift_vmaf_1,quality_shift_vmaf_2,rebuffer_estimate_0,seg_len_s,t_download_s,t_download_s_-1,t_download_s_-10,t_download_s_-2,t_download_s_-3,t_download_s_-4,t_download_s_-5,t_download_s_-6,t_download_s_-7,t_download_s_-8,t_download_s_-9,t_end,t_start,timestamp_finish,timestamp_start,url,vmaf_level
0,-0.008,,,,,,,,,,,349680.0,-1,0.0,0,0,0,0.0,0,0.0,0,,,,,,,,,,,0,349680.0,349680.0,349680.0,620400.0,722659.0,174840,174840,174840,310200,367352,15.517789344262303,15.517789344262303,15.517789344262303,29.372622459016398,69.95855533333336,0.0,4.0,0.001,,,,,,,,,,,4.0,0.0,1572023869.555,1572023869.525,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/c04tpAHH-30813210.mp4-1.ts,15.517789344262303
1,-0.008,,,,,,,,,,,295080.0,-1,3.9630000591278076,0,0,1,0.0,0,0.0,0,,,,,,,,,,,0,295080.0,295080.0,295080.0,421221.0,520677.0,147768,147768,147768,210936,265080,18.814699426229513,18.814699426229513,18.814699426229513,42.645488688524594,71.76887783333333,11.770999908447266,4.006178,0.001,,,,,,,,,,,8.01,4.0,1572023881.359,1572023881.333,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/c04tpAHH-30813210.mp4-2.ts,18.814699426229513
2,-0.008,0.6414237655995658,,,,,,,,,,270636.0,-1,4.940999994277954,0,0,2,349680.0,0,15.517789344262303,0,0.0,,,,,,,,,,0,270636.0,270636.0,270636.0,372594.0,449097.0,135736,135736,135736,186872,228984,17.884716475409835,17.884716475409835,17.884716475409835,34.909009262295086,71.7661258333333,0.0,4.012344000000001,0.001,1.843,,,,,,,,,,12.02,8.01,1572023884.403,1572023884.365,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/c04tpAHH-30813210.mp4-3.ts,17.884716475409835
3,-0.008,0.9925850091407677,,0.6414237655995658,,,,,,,,354057.0,-1,7.802000064849853,0,0,3,295080.0,0,18.814699426229513,0,0.0,,0.0,,,,,,,,0,354057.0,354057.0,354057.0,509752.0,648698.0,177848,177848,177848,256056,331256,6.851044016393441,6.851044016393441,6.851044016393441,16.644818278688525,69.50189733333336,0.0,4.018511,0.001,1.094,,1.843,,,,,,,,16.04,12.02,1572023885.529,1572023885.514,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/c04tpAHH-30813210.mp4-4.ts,6.851044016393441
4,-0.008,0.7551932059447981,,0.9925850091407677,0.6414237655995658,,,,,,,343538.0,-1,9.909999885559081,0,0,4,270636.0,0,17.884716475409835,0,0.0,,0.0,0.0,,,,,,,0,343538.0,343538.0,343538.0,499898.0,686909.0,171832,171832,171832,250040,349304,2.0204,2.0204,2.0204,21.22160475409836,68.26506450000001,0.0,4.001456,0.001,1.8840000000000001,,1.094,1.843,,,,,,,20.04,16.04,1572023887.446,1572023887.426,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/c04tpAHH-30813210.mp4-5.ts,2.0204
5,-0.008,0.8387162904209883,,0.7551932059447981,0.9925850091407677,0.6414237655995658,,,,,,355019.0,-1,12.23700002670288,0,0,5,354057.0,0,6.851044016393441,0,0.0,,0.0,0.0,0.0,,,,,,0,355019.0,355019.0,355019.0,517142.0,674057.0,177848,177848,177848,259064,343288,0.15620057377049176,0.15620057377049176,0.15620057377049176,24.18794860655737,70.97224124999998,0.0,4.0076220000000005,0.001,1.639,,1.8840000000000001,1.094,1.843,,,,,,24.05,20.04,1572023889.124,1572023889.099,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/c04tpAHH-30813210.mp4-6.ts,0.15620057377049176
6,-0.008,1.0961355932203387,,0.8387162904209883,0.7551932059447981,0.9925850091407677,0.6414237655995658,,,,,318502.0,-1,14.909999895095826,0,0,6,343538.0,0,2.0204,0,0.0,,0.0,0.0,0.0,0.0,,,,,0,318502.0,318502.0,318502.0,462390.0,614064.0,159800,159800,159800,231992,313208,4.689629426229508,4.689629426229508,4.689629426229508,23.407623688524605,68.85433524999998,0.0,4.013789,0.001,1.298,,1.639,1.8840000000000001,1.094,1.843,,,,,28.06,24.05,1572023890.44,1572023890.436,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/c04tpAHH-30813210.mp4-7.ts,4.689629426229508
7,-0.008,1.2657425742574258,,1.0961355932203387,0.8387162904209883,0.7551932059447981,0.9925850091407677,0.6414237655995658,,,,288082.0,-1,17.896999893188475,0,0,7,355019.0,0,0.15620057377049176,0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,0,288082.0,288082.0,288082.0,419777.0,595472.0,144760,144760,144760,210936,304184,10.642521475409838,10.642521475409838,10.642521475409838,24.624643688524593,70.45128583333334,0.0,4.019956,0.001,1.01,,1.298,1.639,1.8840000000000001,1.094,1.843,,,,32.08,28.06,1572023891.4650002,1572023891.459,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/c04tpAHH-30813210.mp4-8.ts,10.642521475409838
8,-0.008,1.3608460634547592,,1.2657425742574258,1.0961355932203387,0.8387162904209883,0.7551932059447981,0.9925850091407677,0.6414237655995658,,,271274.0,-1,21.04499991416931,0,0,8,318502.0,0,4.689629426229508,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0,271274.0,271274.0,271274.0,385495.0,544748.0,135736,135736,135736,192888,277112,10.745322131147542,10.745322131147542,10.745322131147542,26.47519237704918,69.71656466666668,0.0,4.002911,0.001,0.851,,1.01,1.298,1.639,1.8840000000000001,1.094,1.843,,,36.08,32.08,1572023892.3500001,1572023892.331,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/c04tpAHH-30813210.mp4-9.ts,10.745322131147542
9,-0.008,1.1382473794549266,,1.3608460634547592,1.2657425742574258,1.0961355932203387,0.8387162904209883,0.7551932059447981,0.9925850091407677,0.6414237655995658,,757049.0,-1,24.053999977111815,0,0,9,288082.0,0,10.642521475409838,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-1,540964.0,540964.0,540964.0,757049.0,1004451.0,271096,271096,271096,379384,511736,0.3855688524590164,0.3855688524590164,0.3855688524590164,0.8681927868852459,64.79803841666661,0.0,4.009078,0.001,0.9540000000000001,,0.851,1.01,1.298,1.639,1.8840000000000001,1.094,1.843,,40.09,36.08,1572023893.323,1572023893.322,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/c04tpAHH-30813211.mp4-10.ts,0.8681927868852459
