,bandwidth_mbit,bandwidth_mbit_-1,bandwidth_mbit_-10,bandwidth_mbit_-2,bandwidth_mbit_-3,bandwidth_mbit_-4,bandwidth_mbit_-5,bandwidth_mbit_-6,bandwidth_mbit_-7,bandwidth_mbit_-8,bandwidth_mbit_-9,bitrate_level,body_size_byte,buffer_estimate_0,byte_end,byte_start,n_segment,previous_bitrate,previous_quality,previous_vmaf,quality_level_chosen,quality_level_chosen_-1,quality_level_chosen_-10,quality_level_chosen_-2,quality_level_chosen_-3,quality_level_chosen_-4,quality_level_chosen_-5,quality_level_chosen_-6,quality_level_chosen_-7,quality_level_chosen_-8,quality_level_chosen_-9,quality_shift,quality_shift_bitrate_-1,quality_shift_bitrate_-2,quality_shift_bitrate_0,quality_shift_bitrate_1,quality_shift_bitrate_2,quality_shift_byte_-1,quality_shift_byte_-2,quality_shift_byte_0,quality_shift_byte_1,quality_shift_byte_2,quality_shift_vmaf_-1,quality_shift_vmaf_-2,quality_shift_vmaf_0,quality_shift_vmaf_1,quality_shift_vmaf_2,rebuffer_estimate_0,seg_len_s,t_download_s,t_download_s_-1,t_download_s_-10,t_download_s_-2,t_download_s_-3,t_download_s_-4,t_download_s_-5,t_download_s_-6,t_download_s_-7,t_download_s_-8,t_download_s_-9,t_end,t_start,timestamp_finish,timestamp_start,url,vmaf_level
0,-0.008,,,,,,,,,,,283504.0,-1,0.0,0,0,0,0.0,0,0.0,0,,,,,,,,,,,0,283504.0,283504.0,283504.0,488048.0,562890.0,141752,141752,141752,244024,286136,37.486001557377065,37.486001557377065,37.486001557377065,47.65902016393447,73.16623966666664,0.0,4.0,0.001,,,,,,,,,,,4.0,0.0,1572071787.112,1572071787.062,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/vs1wk6cE-30813210.mp4-1.ts,37.486001557377065
1,-0.008,,,,,,,,,,,337127.0,-1,3.954000234603882,0,0,1,0.0,0,0.0,0,,,,,,,,,,,0,337127.0,337127.0,337127.0,529342.0,680204.0,168824,168824,168824,265080,346296,12.768873852459016,12.768873852459016,12.768873852459016,30.718953688524593,71.74757233333334,4.140000104904175,4.006178,0.001,,,,,,,,,,,8.01,4.0,1572071791.287,1572071791.248,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/vs1wk6cE-30813210.mp4-2.ts,12.768873852459016
2,-0.008,,,,,,,,,,,426571.0,-1,4.226000080108642,0,0,2,283504.0,0,37.486001557377065,0,,,,,,,,,,,0,426571.0,426571.0,426571.0,624488.0,779467.0,213944,213944,213944,313208,397432,0.9433608196721309,0.9433608196721309,0.9433608196721309,10.867050245901632,73.48263858333334,0.0,4.012344000000001,0.001,,,,,,,,,,,12.02,8.01,1572071794.989,1572071794.986,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/vs1wk6cE-30813210.mp4-3.ts,0.9433608196721309
3,-0.008,0.2544680344930122,,0.36680934274850624,,,,,,,,378010.0,-1,3.993999967575073,0,0,3,337127.0,0,12.768873852459016,0,0.0,,0.0,,,,,,,,0,378010.0,378010.0,378010.0,545682.0,648698.0,189880,189880,189880,274104,331256,1.613625163934426,1.613625163934426,1.613625163934426,14.51602,72.06433324999995,2.503999938964844,4.018511,0.001,6.726,,3.682,,,,,,,,16.04,12.02,1572071801.7700002,1572071801.732,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/vs1wk6cE-30813210.mp4-4.ts,1.613625163934426
4,-0.008,0.2129594840880415,,0.2544680344930122,0.36680934274850624,,,,,,,475842.0,-1,3.997999925613403,0,0,4,426571.0,0,0.9433608196721309,0,0.0,,0.0,0.0,,,,,,,0,475842.0,475842.0,475842.0,710381.0,911689.0,238008,238008,238008,355320,463608,1.027232950819672,1.027232950819672,1.027232950819672,8.192210655737707,72.74633916666662,3.177999963760376,4.001456,0.001,7.133,,6.726,3.682,,,,,,,20.04,16.04,1572071808.927,1572071808.926,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/vs1wk6cE-30813210.mp4-5.ts,1.027232950819672
5,-0.008,0.7417467861316711,,0.2129594840880415,0.2544680344930122,0.36680934274850624,,,,,,409060.0,-1,5.411999959945678,0,0,5,378010.0,0,1.613625163934426,0,0.0,,0.0,0.0,0.0,,,,,,0,409060.0,409060.0,409060.0,607210.0,739026.0,204920,204920,204920,304184,376376,0.8040213114754099,0.8040213114754099,0.8040213114754099,8.474232459016399,73.35528183333334,0.0,4.0076220000000005,0.001,2.567,,7.133,6.726,3.682,,,,,,24.05,20.04,1572071811.513,1572071811.512,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/vs1wk6cE-30813210.mp4-6.ts,0.8040213114754099
6,-0.008,0.5734032878628891,,0.7417467861316711,0.2129594840880415,0.2544680344930122,0.36680934274850624,,,,,444404.0,-1,6.546000032424928,0,0,6,475842.0,0,1.027232950819672,0,0.0,,0.0,0.0,0.0,0.0,,,,,0,444404.0,444404.0,444404.0,660236.0,849959.0,222968,222968,222968,331256,433528,1.5091136885245895,1.5091136885245895,1.5091136885245895,10.196704426229504,73.13094291666667,0.0,4.013789,0.001,2.859,,2.567,7.133,6.726,3.682,,,,,28.06,24.05,1572071814.389,1572071814.388,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/vs1wk6cE-30813210.mp4-7.ts,1.5091136885245895
7,-0.008,0.5734032878628891,,0.7417467861316711,0.2129594840880415,0.2544680344930122,0.36680934274850624,,,,,455694.0,-1,8.1960001373291,0,0,7,409060.0,0,0.8040213114754099,0,0.0,,0.0,0.0,0.0,0.0,,,,,0,455694.0,455694.0,455694.0,689153.0,895785.0,228984,228984,228984,346296,457592,0.7545318852459019,0.7545318852459019,0.7545318852459019,7.884444754098361,72.62157541666666,0.0,4.019956,0.001,2.859,,2.567,7.133,6.726,3.682,,,,,32.08,28.06,1572071816.7489998,1572071816.748,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/vs1wk6cE-30813210.mp4-8.ts,0.7545318852459019
8,-0.008,0.6367299270072992,,0.760010225820196,0.5734032878628891,0.7417467861316711,0.2129594840880415,0.2544680344930122,0.36680934274850624,,,511739.0,-1,9.325000104904174,0,0,8,444404.0,0,1.5091136885245895,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0,511739.0,511739.0,511739.0,716134.0,822666.0,256056,256056,256056,358328,418488,4.665991065573771,4.665991065573771,4.665991065573771,8.211219180327868,69.91477058333334,0.0,4.002911,0.001,2.8770000000000002,,2.347,2.859,2.567,7.133,6.726,3.682,,,36.08,32.08,1572071819.6399999,1572071819.639,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/vs1wk6cE-30813210.mp4-9.ts,4.665991065573771
9,-0.008,0.7692256853173113,,0.6367299270072992,0.760010225820196,0.5734032878628891,0.7417467861316711,0.2129594840880415,0.2544680344930122,0.36680934274850624,,264854.0,-1,10.652000007629393,0,0,9,455694.0,0,0.7545318852459019,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,264854.0,264854.0,264854.0,348888.0,414031.0,132728,132728,132728,174840,210936,32.48001819672132,32.48001819672132,32.48001819672132,33.82178885245901,80.52809624999998,0.0,4.009078,0.001,2.6630000000000003,,2.8770000000000002,2.347,2.859,2.567,7.133,6.726,3.682,,40.09,36.08,1572071822.313,1572071822.312,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/vs1wk6cE-30813210.mp4-10.ts,32.48001819672132
