,bandwidth_mbit,bandwidth_mbit_-1,bandwidth_mbit_-10,bandwidth_mbit_-2,bandwidth_mbit_-3,bandwidth_mbit_-4,bandwidth_mbit_-5,bandwidth_mbit_-6,bandwidth_mbit_-7,bandwidth_mbit_-8,bandwidth_mbit_-9,bitrate_level,body_size_byte,buffer_estimate_0,byte_end,byte_start,n_segment,previous_bitrate,previous_quality,previous_vmaf,quality_level_chosen,quality_level_chosen_-1,quality_level_chosen_-10,quality_level_chosen_-2,quality_level_chosen_-3,quality_level_chosen_-4,quality_level_chosen_-5,quality_level_chosen_-6,quality_level_chosen_-7,quality_level_chosen_-8,quality_level_chosen_-9,quality_shift,quality_shift_bitrate_-1,quality_shift_bitrate_-2,quality_shift_bitrate_0,quality_shift_bitrate_1,quality_shift_bitrate_2,quality_shift_byte_-1,quality_shift_byte_-2,quality_shift_byte_0,quality_shift_byte_1,quality_shift_byte_2,quality_shift_vmaf_-1,quality_shift_vmaf_-2,quality_shift_vmaf_0,quality_shift_vmaf_1,quality_shift_vmaf_2,rebuffer_estimate_0,seg_len_s,t_download_s,t_download_s_-1,t_download_s_-10,t_download_s_-2,t_download_s_-3,t_download_s_-4,t_download_s_-5,t_download_s_-6,t_download_s_-7,t_download_s_-8,t_download_s_-9,t_end,t_start,timestamp_finish,timestamp_start,url,vmaf_level
0,0.7213866133866133,,,,,,,,,,,576348.0,722108,0.0,0,0,0,0.0,0,0.0,1,,,,,,,,,,,-1,213673.0,213673.0,213673.0,576348.0,975935.0,267712,267712,267712,722108,1222752,10.659611999999996,10.659611999999996,10.659611999999996,37.821204338983065,61.10028166101694,0.0,10.023222,8.008000000000001,,,,,,,,,,,10.02,0.0,1572029355.3669999,1572029347.323,https://vid-egc.xvideos-cdn.com/videos/hls/7c/52/84/7c52845280b38a3c99b85bb895e4c2a7/hls-360p-9e9360.ts?luURbOFIeoCP3C25k-Vc2Ry5P07F1URwhsBQXBVpcfxw2vPaQUbe7pKOEEh7VP-a1o4pPBkaTH1dvz3DGBiNGk0O6bXPd-vXdGndUV_N_-o2wxGWjfhlQhNYgn1_MzdhyL9vG8PvfH6OJprXCzlDcFcwTg,37.821204338983065
1,-0.008,,,,,,,,,,,637395.0,-1,9.967999954223632,0,0,1,0.0,0,0.0,1,,,,,,,,,,,-1,232819.0,232819.0,232819.0,637395.0,1074608.0,291024,291024,291024,796744,1343260,9.593343254237286,9.593343254237286,9.593343254237286,35.421411661016954,57.95048081355934,8.043999910354614,10.0,0.001,,,,,,,,,,,20.02,10.02,1572029355.455,1572029355.419,https://vid-egc.xvideos-cdn.com/videos/hls/7c/52/84/7c52845280b38a3c99b85bb895e4c2a7/hls-360p-9e9361.ts?luURbOFIeoCP3C25k-Vc2Ry5P07F1URwhsBQXBVpcfxw2vPaQUbe7pKOEEh7VP-a1o4pPBkaTH1dvz3DGBiNGk0O6bXPd-vXdGndUV_N_-o2wxGWjfhlQhNYgn1_MzdhyL9vG8PvfH6OJprXCzlDcFcwTg,35.421411661016954
2,-0.008,0.31010761895494793,,,,,,,,,,212364.0,-1,9.800999879837036,0,0,2,576348.0,1,37.821204338983065,0,1.0,,,,,,,,,,1,212364.0,212364.0,555126.0,956092.0,1745542.0,265456,265456,693908,1195116,2181928,2.9176476949152543,2.9176476949152543,29.32768318644069,54.135778644067784,74.60378959322028,10.62300012588501,10.0,0.001,20.554000000000002,,,,,,,,,,30.02,20.02,1572029376.2380002,1572029376.209,https://vid-egc.xvideos-cdn.com/videos/hls/7c/52/84/7c52845280b38a3c99b85bb895e4c2a7/hls-250p-4a09e2.ts?luURbOFIeoCP3C25k-Vc2Ry5P07F1URwhsBQXBVpcfxw2vPaQUbe7pKOEEh7VP-a1o4pPBkaTH1dvz3DGBiNGk0O6bXPd-vXdGndUV_N_-o2wxGWjfhlQhNYgn1_MzdhyL9vG8PvfH6OJprXCzlDcFcwTg,2.9176476949152543
3,-0.008,0.2889710164648251,,0.31010761895494793,,,,,,,,203328.0,-1,12.382999897003174,0,0,3,637395.0,1,35.421411661016954,0,0.0,,1.0,,,,,,,,1,203328.0,203328.0,543395.0,947670.0,1564761.0,254364,254364,679244,1184588,1955952,3.108294508474576,3.108294508474576,29.567889966101685,53.224867084745796,73.74062715254239,0.0,10.0,0.001,7.349,,20.554000000000002,,,,,,,,40.02,30.02,1572029383.653,1572029383.627,https://vid-egc.xvideos-cdn.com/videos/hls/7c/52/84/7c52845280b38a3c99b85bb895e4c2a7/hls-250p-4a09e3.ts?luURbOFIeoCP3C25k-Vc2Ry5P07F1URwhsBQXBVpcfxw2vPaQUbe7pKOEEh7VP-a1o4pPBkaTH1dvz3DGBiNGk0O6bXPd-vXdGndUV_N_-o2wxGWjfhlQhNYgn1_MzdhyL9vG8PvfH6OJprXCzlDcFcwTg,3.108294508474576
4,-0.008,0.7264948232774008,,0.2889710164648251,0.31010761895494793,,,,,,,171305.0,-1,19.529000043869022,0,0,4,212364.0,0,2.9176476949152543,0,0.0,,0.0,1.0,,,,,,,0,171305.0,171305.0,171305.0,427888.0,749894.0,214132,214132,214132,534860,937368,1.5929220677966105,1.5929220677966105,1.5929220677966105,28.04852416949154,52.16849591836737,0.0,10.0,0.001,2.801,,7.349,20.554000000000002,,,,,,,50.02,40.02,1572029386.501,1572029386.481,https://vid-egc.xvideos-cdn.com/videos/hls/7c/52/84/7c52845280b38a3c99b85bb895e4c2a7/hls-250p-4a09e4.ts?luURbOFIeoCP3C25k-Vc2Ry5P07F1URwhsBQXBVpcfxw2vPaQUbe7pKOEEh7VP-a1o4pPBkaTH1dvz3DGBiNGk0O6bXPd-vXdGndUV_N_-o2wxGWjfhlQhNYgn1_MzdhyL9vG8PvfH6OJprXCzlDcFcwTg,1.5929220677966105
5,-0.008,0.6707345340642129,,0.7264948232774008,0.2889710164648251,0.31010761895494793,,,,,,189654.0,-1,25.73600006103516,0,0,5,203328.0,0,3.108294508474576,0,0.0,,0.0,0.0,1.0,,,,,,0,189654.0,189654.0,189654.0,482182.0,833817.0,237068,237068,237068,602728,1042272,3.0201117006802733,3.0201117006802733,3.0201117006802733,31.605413401360554,55.51229901694913,0.0,10.0,0.001,2.5540000000000003,,2.801,7.349,20.554000000000002,,,,,,60.02,50.02,1572029390.324,1572029390.274,https://vid-egc.xvideos-cdn.com/videos/hls/7c/52/84/7c52845280b38a3c99b85bb895e4c2a7/hls-250p-4a09e5.ts?luURbOFIeoCP3C25k-Vc2Ry5P07F1URwhsBQXBVpcfxw2vPaQUbe7pKOEEh7VP-a1o4pPBkaTH1dvz3DGBiNGk0O6bXPd-vXdGndUV_N_-o2wxGWjfhlQhNYgn1_MzdhyL9vG8PvfH6OJprXCzlDcFcwTg,3.0201117006802733
6,-0.008,0.5247769784172662,,0.6707345340642129,0.7264948232774008,0.2889710164648251,0.31010761895494793,,,,,225449.0,-1,29.882999897003174,0,0,6,171305.0,0,1.5929220677966105,0,0.0,,0.0,0.0,0.0,1.0,,,,,0,225449.0,225449.0,225449.0,594230.0,1002416.0,281812,281812,281812,742788,1253020,0.2507012542372882,0.2507012542372882,0.2507012542372882,26.653405457627144,51.740592033898324,0.0,10.0,0.001,3.614,,2.5540000000000003,2.801,7.349,20.554000000000002,,,,,70.02,60.02,1572029396.191,1572029396.127,https://vid-egc.xvideos-cdn.com/videos/hls/7c/52/84/7c52845280b38a3c99b85bb895e4c2a7/hls-250p-4a09e6.ts?luURbOFIeoCP3C25k-Vc2Ry5P07F1URwhsBQXBVpcfxw2vPaQUbe7pKOEEh7VP-a1o4pPBkaTH1dvz3DGBiNGk0O6bXPd-vXdGndUV_N_-o2wxGWjfhlQhNYgn1_MzdhyL9vG8PvfH6OJprXCzlDcFcwTg,0.2507012542372882
7,-0.008,0.4572086797809775,,0.5247769784172662,0.6707345340642129,0.7264948232774008,0.2889710164648251,0.31010761895494793,,,,220787.0,-1,29.11700010299682,0,0,7,189654.0,0,3.0201117006802733,0,0.0,,0.0,0.0,0.0,0.0,1.0,,,,0,220787.0,220787.0,220787.0,580520.0,985721.0,275984,275984,275984,726808,1232152,0.19640657627118646,0.19640657627118646,0.19640657627118646,25.29747911864408,50.17916166101696,0.0,10.0,0.001,4.931,,3.614,2.5540000000000003,2.801,7.349,20.554000000000002,,,,80.02,70.02,1572029406.8999999,1572029406.893,https://vid-egc.xvideos-cdn.com/videos/hls/7c/52/84/7c52845280b38a3c99b85bb895e4c2a7/hls-250p-4a09e7.ts?luURbOFIeoCP3C25k-Vc2Ry5P07F1URwhsBQXBVpcfxw2vPaQUbe7pKOEEh7VP-a1o4pPBkaTH1dvz3DGBiNGk0O6bXPd-vXdGndUV_N_-o2wxGWjfhlQhNYgn1_MzdhyL9vG8PvfH6OJprXCzlDcFcwTg,0.19640657627118646
8,-0.008,0.8306516177577126,,0.4572086797809775,0.5247769784172662,0.6707345340642129,0.7264948232774008,0.2889710164648251,0.31010761895494793,,,189654.0,-1,29.858999967575066,0,0,8,225449.0,0,0.2507012542372882,0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,,,0,189654.0,189654.0,189654.0,489702.0,846150.0,237068,237068,237068,612128,1057688,1.1712156949152546,1.1712156949152546,1.1712156949152546,29.662990881355924,54.23483606779659,0.0,10.0,0.001,2.658,,4.931,3.614,2.5540000000000003,2.801,7.349,20.554000000000002,,,90.02,80.02,1572029416.157,1572029416.151,https://vid-egc.xvideos-cdn.com/videos/hls/7c/52/84/7c52845280b38a3c99b85bb895e4c2a7/hls-250p-4a09e8.ts?luURbOFIeoCP3C25k-Vc2Ry5P07F1URwhsBQXBVpcfxw2vPaQUbe7pKOEEh7VP-a1o4pPBkaTH1dvz3DGBiNGk0O6bXPd-vXdGndUV_N_-o2wxGWjfhlQhNYgn1_MzdhyL9vG8PvfH6OJprXCzlDcFcwTg,1.1712156949152546
9,-0.008,0.6020774603174603,,0.8306516177577126,0.4572086797809775,0.5247769784172662,0.6707345340642129,0.7264948232774008,0.2889710164648251,0.31010761895494793,,223795.0,-1,29.881999969482415,0,0,9,220787.0,0,0.19640657627118646,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0,223795.0,223795.0,223795.0,583702.0,969628.0,279744,279744,279744,729628,1212036,0.022432372881355928,0.022432372881355928,0.022432372881355928,27.005885762711863,52.393911389830535,0.0,10.0,0.001,3.15,,2.658,4.931,3.614,2.5540000000000003,2.801,7.349,20.554000000000002,,100.02,90.02,1572029426.1330001,1572029426.128,https://vid-egc.xvideos-cdn.com/videos/hls/7c/52/84/7c52845280b38a3c99b85bb895e4c2a7/hls-250p-4a09e9.ts?luURbOFIeoCP3C25k-Vc2Ry5P07F1URwhsBQXBVpcfxw2vPaQUbe7pKOEEh7VP-a1o4pPBkaTH1dvz3DGBiNGk0O6bXPd-vXdGndUV_N_-o2wxGWjfhlQhNYgn1_MzdhyL9vG8PvfH6OJprXCzlDcFcwTg,0.022432372881355928
