,bandwidth_mbit,bandwidth_mbit_-1,bandwidth_mbit_-10,bandwidth_mbit_-2,bandwidth_mbit_-3,bandwidth_mbit_-4,bandwidth_mbit_-5,bandwidth_mbit_-6,bandwidth_mbit_-7,bandwidth_mbit_-8,bandwidth_mbit_-9,bitrate_level,body_size_byte,buffer_estimate_0,byte_end,byte_start,n_segment,previous_bitrate,previous_quality,previous_vmaf,quality_level_chosen,quality_level_chosen_-1,quality_level_chosen_-10,quality_level_chosen_-2,quality_level_chosen_-3,quality_level_chosen_-4,quality_level_chosen_-5,quality_level_chosen_-6,quality_level_chosen_-7,quality_level_chosen_-8,quality_level_chosen_-9,quality_shift,quality_shift_bitrate_-1,quality_shift_bitrate_-2,quality_shift_bitrate_0,quality_shift_bitrate_1,quality_shift_bitrate_2,quality_shift_byte_-1,quality_shift_byte_-2,quality_shift_byte_0,quality_shift_byte_1,quality_shift_byte_2,quality_shift_vmaf_-1,quality_shift_vmaf_-2,quality_shift_vmaf_0,quality_shift_vmaf_1,quality_shift_vmaf_2,rebuffer_estimate_0,seg_len_s,t_download_s,t_download_s_-1,t_download_s_-10,t_download_s_-2,t_download_s_-3,t_download_s_-4,t_download_s_-5,t_download_s_-6,t_download_s_-7,t_download_s_-8,t_download_s_-9,t_end,t_start,timestamp_finish,timestamp_start,url,vmaf_level
0,-0.008,,,,,,,,,,,752319.0,-1,0.0,0,0,0,0.0,0,0.0,2,,,,,,,,,,,-2,399440.0,399440.0,399440.0,530136.0,752319.0,183864,183864,183864,244024,346296,32.48412850000002,32.48412850000002,32.48412850000002,61.41094679999999,73.94623290000001,0.0,3.6824339999999998,0.001,,,,,,,,,,,3.68,0.0,1576440652.741,1576440651.948,"https://d1v-h.phncdn.com/hls/videos/201904/04/216536581/,1080P_4000K,720P_4000K,480P_2000K,240P_400K,_216536581.mp4.urlset/seg-1-f2-v1-a1.ts?ttl=1576444248&l=0&clientip=52.59.217.244&hash=de9d72fe1d73c363b4bfbbe85a759e49",73.94623290000001
1,-0.008,,,,,,,,,,,1001437.0,-1,0.0,0,0,1,0.0,0,0.0,2,,,,,,,,,,,-2,445537.0,445537.0,445537.0,628657.0,1001437.0,204920,204920,204920,289144,460600,19.516397000000005,19.516397000000005,19.516397000000005,56.181229000000016,73.6078218,6.4090001583099365,3.6795120000000003,0.001,,,,,,,,,,,7.36,3.68,1576440658.3620002,1576440658.357,"https://d1v-h.phncdn.com/hls/videos/201904/04/216536581/,1080P_4000K,720P_4000K,480P_2000K,240P_400K,_216536581.mp4.urlset/seg-2-f2-v1-a1.ts?ttl=1576444248&l=0&clientip=52.59.217.244&hash=de9d72fe1d73c363b4bfbbe85a759e49",73.6078218
2,-0.008,26.837,,,,,,,,,,975669.0,-1,3.645000152587891,0,0,2,752319.0,2,73.94623290000001,2,2.0,,,,,,,,,,0,648380.0,423575.0,975669.0,2350946.0,2350946.0,589944,385400,887736,2139064,2139064,56.34269310000003,18.043656100000003,72.95143930000002,100.0,100.0,0.19700002670288086,7.278989,0.001,0.192,,,,,,,,,,14.64,7.36,1576440658.594,1576440658.589,"https://d1v-h.phncdn.com/hls/videos/201904/04/216536581/,1080P_4000K,720P_4000K,480P_2000K,240P_400K,_216536581.mp4.urlset/seg-3-f2-v1-a1.ts?ttl=1576444248&l=0&clientip=52.59.217.244&hash=de9d72fe1d73c363b4bfbbe85a759e49",72.95143930000002
3,-0.008,26.71898288508557,,26.837,,,,,,,,1141503.0,-1,10.459000072479249,0,0,3,1001437.0,2,73.6078218,2,2.0,,2.0,,,,,,,,0,708830.0,479382.0,1141503.0,2786973.0,2786973.0,325240,219960,523768,1278776,1278776,74.25352269999998,59.15253169999998,84.2480023,100.0,100.0,0.0,3.670723,0.001,0.40900000000000003,,0.192,,,,,,,,18.31,14.64,1576440659.059,1576440659.055,"https://d1v-h.phncdn.com/hls/videos/201904/04/216536581/,1080P_4000K,720P_4000K,480P_2000K,240P_400K,_216536581.mp4.urlset/seg-4-f2-v1-a1.ts?ttl=1576444248&l=0&clientip=52.59.217.244&hash=de9d72fe1d73c363b4bfbbe85a759e49",84.2480023
4,-0.008,40.74297435897436,,26.71898288508557,26.837,,,,,,,1057121.0,-1,13.935000066757201,0,0,4,975669.0,2,72.95143930000002,2,2.0,,2.0,2.0,,,,,,,0,676590.0,479764.0,1057121.0,2546442.0,2546442.0,310200,219960,484664,1167480,1167480,76.36072669999999,62.03566590000001,84.88282730000003,100.0,100.0,0.0,3.6678,0.001,0.156,,0.40900000000000003,0.192,,,,,,,21.98,18.31,1576440659.253,1576440659.249,"https://d1v-h.phncdn.com/hls/videos/201904/04/216536581/,1080P_4000K,720P_4000K,480P_2000K,240P_400K,_216536581.mp4.urlset/seg-5-f2-v1-a1.ts?ttl=1576444248&l=0&clientip=52.59.217.244&hash=de9d72fe1d73c363b4bfbbe85a759e49",84.88282730000003
5,-0.008,39.922632911392405,,40.74297435897436,26.71898288508557,26.837,,,,,,887248.0,-1,16.671000051498414,0,0,5,1141503.0,2,84.2480023,2,2.0,,2.0,2.0,2.0,,,,,,0,572074.0,421053.0,887248.0,2036321.0,2036321.0,262072,192888,406456,932856,932856,78.85040649999999,64.92466210000002,85.84167699999995,100.0,100.0,0.0,3.6648669999999997,0.001,0.158,,0.156,0.40900000000000003,0.192,,,,,,25.64,21.98,1576440660.194,1576440660.183,"https://d1v-h.phncdn.com/hls/videos/201904/04/216536581/,1080P_4000K,720P_4000K,480P_2000K,240P_400K,_216536581.mp4.urlset/seg-6-f2-v1-a1.ts?ttl=1576444248&l=0&clientip=52.59.217.244&hash=de9d72fe1d73c363b4bfbbe85a759e49",85.84167699999995
6,-0.008,44.108460176991144,,39.922632911392405,40.74297435897436,26.71898288508557,26.837,,,,,848528.0,-1,16.730000219345094,0,0,6,1057121.0,2,84.88282730000003,2,2.0,,2.0,2.0,2.0,2.0,,,,,0,572530.0,408246.0,848528.0,1847376.0,1847376.0,262072,186872,388408,845624,845624,76.85469170000002,60.805932300000016,85.1618397,100.0,100.0,0.0,3.661945,0.001,0.113,,0.158,0.156,0.40900000000000003,0.192,,,,,29.3,25.64,1576440663.7879999,1576440663.784,"https://d1v-h.phncdn.com/hls/videos/201904/04/216536581/,1080P_4000K,720P_4000K,480P_2000K,240P_400K,_216536581.mp4.urlset/seg-7-f2-v1-a1.ts?ttl=1576444248&l=0&clientip=52.59.217.244&hash=de9d72fe1d73c363b4bfbbe85a759e49",85.1618397
7,-0.008,62.09936842105264,,44.108460176991144,39.922632911392405,40.74297435897436,26.71898288508557,26.837,,,,890053.0,-1,16.784000034332276,0,0,7,887248.0,2,85.84167699999995,2,2.0,,2.0,2.0,2.0,2.0,2.0,,,,0,556589.0,386588.0,890053.0,1988520.0,1988520.0,256056,177848,409464,914808,914808,53.17095430000002,15.147415799999996,71.24582179999997,100.0,100.0,0.0,3.6803559999999997,0.001,0.076,,0.113,0.158,0.156,0.40900000000000003,0.192,,,,32.99,29.31,1576440667.558,1576440667.39,"https://d1v-h.phncdn.com/hls/videos/201904/04/216536581/,1080P_4000K,720P_4000K,480P_2000K,240P_400K,_216536581.mp4.urlset/seg-8-f2-v1-a1.ts?ttl=1576444248&l=0&clientip=52.59.217.244&hash=de9d72fe1d73c363b4bfbbe85a759e49",71.24582179999997
8,-0.008,49.256,,62.09936842105264,44.108460176991144,39.922632911392405,40.74297435897436,26.71898288508557,26.837,,,988918.0,-1,16.88000017166138,0,0,8,848528.0,2,85.1618397,2,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,,,0,648645.0,426159.0,988918.0,2448167.0,2448167.0,298168,195896,454584,1125368,1125368,53.17095430000002,15.147415799999996,71.24582179999997,100.0,100.0,0.0,3.677422,0.001,0.088,,0.076,0.113,0.158,0.156,0.40900000000000003,0.192,,,36.67,32.99,1576440670.989,1576440670.984,"https://d1v-h.phncdn.com/hls/videos/201904/04/216536581/,1080P_4000K,720P_4000K,480P_2000K,240P_400K,_216536581.mp4.urlset/seg-9-f2-v1-a1.ts?ttl=1576444248&l=0&clientip=52.59.217.244&hash=de9d72fe1d73c363b4bfbbe85a759e49",71.24582179999997
9,-0.008,46.302632478632475,,49.256,62.09936842105264,44.108460176991144,39.922632911392405,40.74297435897436,26.71898288508557,26.837,,1074841.0,-1,16.96000002861023,0,0,9,890053.0,2,71.24582179999997,2,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,0,701552.0,472340.0,1074841.0,2620385.0,2620385.0,322232,216952,493688,1203576,1203576,54.9077069,17.613832300000006,71.9281101,100.0,100.0,0.0,3.6745,0.001,0.117,,0.088,0.076,0.113,0.158,0.156,0.40900000000000003,0.192,,40.33,36.66,1576440674.8790002,1576440674.584,"https://d1v-h.phncdn.com/hls/videos/201904/04/216536581/,1080P_4000K,720P_4000K,480P_2000K,240P_400K,_216536581.mp4.urlset/seg-10-f2-v1-a1.ts?ttl=1576444248&l=0&clientip=52.59.217.244&hash=de9d72fe1d73c363b4bfbbe85a759e49",71.9281101
